femur_tangage,femur_roulis,femur_lacet,tibia_tangage,tibia_roulis,tibia_lacet,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z
-71.266766,-37.470906,-51.757541,-71.266766,-37.470906,-51.757541,15.625000,-19.375000,-18.125000,13.125000,-18.125000,0.625000
21.187182,-174.645352,-104.905008,21.187182,-174.645352,-104.905008,15.625000,-19.375000,-19.375000,13.125000,-18.125000,1.875000
-30.353189,43.789056,-158.438620,-30.353189,43.789056,-158.438620,16.875000,-19.375000,-19.375000,15.625000,-19.375000,1.875000
44.072840,78.177663,-32.793495,44.072840,78.177663,-32.793495,16.875000,-18.125000,-19.375000,15.625000,-19.375000,0.625000
14.511066,71.517260,164.347577,14.511066,71.517260,164.347577,16.875000,-18.125000,-18.125000,16.875000,-19.375000,0.625000
-31.661585,-68.642550,-95.738435,-31.661585,-68.642550,-95.738435,16.875000,-19.375000,-18.125000,16.875000,-18.125000,0.625000
47.416781,60.317096,4.431596,47.416781,60.317096,4.431596,15.625000,-18.125000,-18.125000,16.875000,-18.125000,1.875000
-77.237602,40.342727,-18.865173,-77.237602,40.342727,-18.865173,15.625000,-18.125000,-19.375000,16.875000,-19.375000,1.875000
-23.874748,163.804429,18.911254,-23.874748,163.804429,18.911254,18.125000,-19.375000,-19.375000,15.625000,-18.125000,1.875000
79.227916,-31.025957,-103.929755,79.227916,-31.025957,-103.929755,18.125000,-19.375000,-18.125000,15.625000,-18.125000,0.625000
27.063994,172.489299,108.177034,27.063994,172.489299,108.177034,19.375000,-19.375000,-18.125000,18.125000,-19.375000,0.625000
65.842369,-14.647193,11.877017,65.842369,-14.647193,11.877017,19.375000,-18.125000,-18.125000,18.125000,-19.375000,1.875000
70.974711,27.047806,-65.048716,70.974711,27.047806,-65.048716,19.375000,-18.125000,-19.375000,19.375000,-19.375000,1.875000
51.890093,79.148453,-6.977976,51.890093,79.148453,-6.977976,19.375000,-19.375000,-19.375000,19.375000,-18.125000,1.875000
58.039711,-4.348970,19.434638,58.039711,-4.348970,19.434638,18.125000,-18.125000,-19.375000,19.375000,-18.125000,0.625000
-2.253739,-80.541548,-78.453935,-2.253739,-80.541548,-78.453935,18.125000,-18.125000,-18.125000,19.375000,-19.375000,0.625000
24.948165,-96.113333,147.396753,24.948165,-96.113333,147.396753,18.125000,-16.875000,-18.125000,18.125000,-18.125000,0.625000
64.575028,-104.833834,-11.967304,64.575028,-104.833834,-11.967304,18.125000,-16.875000,-19.375000,18.125000,-18.125000,1.875000
-33.511875,78.743042,-3.847445,-33.511875,78.743042,-3.847445,19.375000,-16.875000,-19.375000,18.125000,-16.875000,1.875000
-69.935236,-103.713985,-117.008626,-69.935236,-103.713985,-117.008626,19.375000,-15.625000,-19.375000,18.125000,-16.875000,0.625000
48.888771,1.048786,141.260653,48.888771,1.048786,141.260653,19.375000,-15.625000,-18.125000,19.375000,-16.875000,0.625000
40.482265,-98.166569,-84.768987,40.482265,-98.166569,-84.768987,19.375000,-16.875000,-18.125000,19.375000,-15.625000,0.625000
-62.486962,22.473061,-44.769314,-62.486962,22.473061,-44.769314,18.125000,-15.625000,-18.125000,19.375000,-15.625000,1.875000
0.973458,-146.000588,68.042398,0.973458,-146.000588,68.042398,18.125000,-15.625000,-19.375000,19.375000,-16.875000,1.875000
-23.583299,-15.057732,110.602627,-23.583299,-15.057732,110.602627,15.625000,-16.875000,-19.375000,18.125000,-15.625000,1.875000
-19.069276,-158.965968,-14.516888,-19.069276,-158.965968,-14.516888,15.625000,-16.875000,-18.125000,18.125000,-15.625000,0.625000
69.638281,82.506241,-77.908087,69.638281,82.506241,-77.908087,16.875000,-16.875000,-18.125000,15.625000,-16.875000,0.625000
26.573696,111.218936,-171.051889,26.573696,111.218936,-171.051889,16.875000,-15.625000,-18.125000,15.625000,-16.875000,1.875000
17.594090,82.373793,63.006701,17.594090,82.373793,63.006701,16.875000,-15.625000,-19.375000,16.875000,-16.875000,1.875000
12.498566,29.385926,-48.643885,12.498566,29.385926,-48.643885,16.875000,-16.875000,-19.375000,16.875000,-15.625000,1.875000
82.780278,160.544966,-39.502600,82.780278,160.544966,-39.502600,15.625000,-15.625000,-19.375000,16.875000,-15.625000,0.625000
81.964201,117.663002,29.873545,81.964201,117.663002,29.873545,15.625000,-15.625000,-18.125000,16.875000,-16.875000,0.625000
-70.336387,59.826204,172.007699,-70.336387,59.826204,172.007699,13.125000,-16.875000,-18.125000,15.625000,-15.625000,0.625000
84.042015,97.825066,53.791414,84.042015,97.825066,53.791414,13.125000,-16.875000,-19.375000,15.625000,-15.625000,1.875000
37.245191,-161.900221,65.840635,37.245191,-161.900221,65.840635,14.375000,-15.625000,-19.375000,13.125000,-16.875000,1.875000
-66.944081,38.084581,-76.760323,-66.944081,38.084581,-76.760323,14.375000,-16.875000,-19.375000,13.125000,-16.875000,0.625000
66.328272,96.675119,3.709757,66.328272,96.675119,3.709757,14.375000,-16.875000,-18.125000,14.375000,-15.625000,0.625000
-71.777591,75.497777,40.356481,-71.777591,75.497777,40.356481,14.375000,-15.625000,-18.125000,14.375000,-16.875000,0.625000
33.320917,118.231354,19.270773,33.320917,118.231354,19.270773,13.125000,-15.625000,-18.125000,14.375000,-16.875000,1.875000
41.704657,126.416375,-82.407741,41.704657,126.416375,-82.407741,13.125000,-15.625000,-19.375000,14.375000,-15.625000,1.875000
12.534424,174.919191,48.670641,12.534424,174.919191,48.670641,10.625000,-16.875000,-19.375000,13.125000,-15.625000,1.875000
66.193707,-3.605137,131.078593,66.193707,-3.605137,131.078593,10.625000,-16.875000,-18.125000,13.125000,-15.625000,0.625000
25.113055,121.726493,29.952531,25.113055,121.726493,29.952531,11.875000,-15.625000,-18.125000,10.625000,-16.875000,0.625000
83.581181,-76.446024,104.881418,83.581181,-76.446024,104.881418,11.875000,-16.875000,-18.125000,10.625000,-16.875000,1.875000
46.293607,0.572680,-131.501986,46.293607,0.572680,-131.501986,11.875000,-16.875000,-19.375000,11.875000,-15.625000,1.875000
-77.377780,147.356252,-94.988317,-77.377780,147.356252,-94.988317,11.875000,-15.625000,-19.375000,11.875000,-16.875000,1.875000
-33.052826,119.870223,-5.487456,-33.052826,119.870223,-5.487456,10.625000,-15.625000,-19.375000,11.875000,-16.875000,0.625000
-60.529716,52.518756,-67.970616,-60.529716,52.518756,-67.970616,10.625000,-15.625000,-18.125000,11.875000,-15.625000,0.625000
65.763127,135.422161,5.325831,65.763127,135.422161,5.325831,9.375000,-15.625000,-18.125000,10.625000,-15.625000,0.625000
64.658390,-81.519357,-0.705842,64.658390,-81.519357,-0.705842,8.125000,-16.875000,-18.125000,10.625000,-15.625000,1.875000
67.098423,-58.296258,-103.430934,67.098423,-58.296258,-103.430934,8.125000,-16.875000,-19.375000,9.375000,-15.625000,1.875000
57.602435,111.861630,7.978612,57.602435,111.861630,7.978612,9.375000,-15.625000,-19.375000,8.125000,-16.875000,1.875000
76.326093,-118.321735,-154.192823,76.326093,-118.321735,-154.192823,9.375000,-16.875000,-19.375000,8.125000,-16.875000,0.625000
12.638518,135.274819,-42.403587,12.638518,135.274819,-42.403587,9.375000,-16.875000,-18.125000,9.375000,-15.625000,0.625000
-63.272809,49.316841,-32.653994,-63.272809,49.316841,-32.653994,8.125000,-15.625000,-18.125000,9.375000,-16.875000,0.625000
-59.303474,-50.256469,124.765572,-59.303474,-50.256469,124.765572,8.125000,-15.625000,-19.375000,9.375000,-16.875000,1.875000
77.030571,-139.297324,-116.615163,77.030571,-139.297324,-116.615163,6.875000,-16.875000,-19.375000,8.125000,-15.625000,1.875000
-57.729214,-21.208447,132.745119,-57.729214,-21.208447,132.745119,6.875000,-16.875000,-18.125000,8.125000,-15.625000,0.625000
-17.143922,-7.542379,-78.585434,-17.143922,-7.542379,-78.585434,6.875000,-15.625000,-18.125000,6.875000,-16.875000,0.625000
-61.418515,-156.925568,97.523442,-61.418515,-156.925568,97.523442,5.625000,-16.875000,-18.125000,6.875000,-16.875000,1.875000
14.184550,-112.681325,149.843338,14.184550,-112.681325,149.843338,5.625000,-16.875000,-19.375000,6.875000,-15.625000,1.875000
-8.050466,-137.317644,-120.402626,-8.050466,-137.317644,-120.402626,6.875000,-15.625000,-19.375000,5.625000,-16.875000,1.875000
44.901071,-68.526211,44.422682,44.901071,-68.526211,44.422682,5.625000,-15.625000,-19.375000,5.625000,-16.875000,0.625000
-52.111703,73.883362,-151.049129,-52.111703,73.883362,-151.049129,5.625000,-15.625000,-18.125000,6.875000,-15.625000,0.625000
-30.625685,132.879598,36.568002,-30.625685,132.879598,36.568002,4.375000,-15.625000,-18.125000,5.625000,-15.625000,0.625000
-14.315340,159.323560,-106.437953,-14.315340,159.323560,-106.437953,3.125000,-16.875000,-18.125000,5.625000,-15.625000,1.875000
21.217204,-116.890032,-155.297216,21.217204,-116.890032,-155.297216,3.125000,-16.875000,-19.375000,4.375000,-15.625000,1.875000
81.670012,-60.006511,95.059083,81.670012,-60.006511,95.059083,4.375000,-15.625000,-19.375000,3.125000,-16.875000,1.875000
14.497976,-101.733647,-21.074177,14.497976,-101.733647,-21.074177,4.375000,-16.875000,-19.375000,3.125000,-16.875000,0.625000
-30.604856,39.743961,-135.835085,-30.604856,39.743961,-135.835085,4.375000,-16.875000,-18.125000,4.375000,-15.625000,0.625000
83.969440,-65.444876,-116.979038,83.969440,-65.444876,-116.979038,3.125000,-15.625000,-18.125000,4.375000,-16.875000,0.625000
23.037918,-12.977970,-162.019211,23.037918,-12.977970,-162.019211,3.125000,-15.625000,-19.375000,4.375000,-16.875000,1.875000
62.936152,-86.354004,-126.129061,62.936152,-86.354004,-126.129061,1.875000,-16.875000,-19.375000,3.125000,-15.625000,1.875000
32.251371,-168.675165,129.877222,32.251371,-168.675165,129.877222,1.875000,-16.875000,-18.125000,3.125000,-15.625000,0.625000
-17.544151,-50.572102,127.019103,-17.544151,-50.572102,127.019103,1.875000,-15.625000,-18.125000,1.875000,-16.875000,0.625000
-8.370987,151.290011,166.246958,-8.370987,151.290011,166.246958,0.625000,-16.875000,-18.125000,1.875000,-16.875000,1.875000
43.113782,69.277993,27.221024,43.113782,69.277993,27.221024,0.625000,-16.875000,-19.375000,1.875000,-15.625000,1.875000
52.308836,-127.887847,-138.365987,52.308836,-127.887847,-138.365987,1.875000,-15.625000,-19.375000,0.625000,-16.875000,1.875000
10.941953,-57.571048,42.906001,10.941953,-57.571048,42.906001,0.625000,-15.625000,-19.375000,0.625000,-16.875000,0.625000
53.185392,-14.664667,-88.108571,53.185392,-14.664667,-88.108571,0.625000,-15.625000,-18.125000,1.875000,-15.625000,0.625000
51.953925,-27.031994,16.843067,51.953925,-27.031994,16.843067,-1.875000,-16.875000,-18.125000,0.625000,-15.625000,0.625000
-83.168795,-88.365708,-88.577830,-83.168795,-88.365708,-88.577830,-1.875000,-16.875000,-19.375000,0.625000,-15.625000,1.875000
19.679771,-87.545618,-83.323273,19.679771,-87.545618,-83.323273,-0.625000,-16.875000,-19.375000,-1.875000,-16.875000,1.875000
-20.356605,8.496566,-162.368608,-20.356605,8.496566,-162.368608,-0.625000,-15.625000,-19.375000,-1.875000,-16.875000,0.625000
-8.505714,120.262271,166.768344,-8.505714,120.262271,166.768344,-0.625000,-15.625000,-18.125000,-0.625000,-16.875000,0.625000
-57.274798,-154.893466,-111.091999,-57.274798,-154.893466,-111.091999,-0.625000,-16.875000,-18.125000,-0.625000,-15.625000,0.625000
-38.641193,14.452402,-2.356106,-38.641193,14.452402,-2.356106,-1.875000,-15.625000,-18.125000,-0.625000,-15.625000,1.875000
-53.591578,81.880047,147.244071,-53.591578,81.880047,147.244071,-1.875000,-15.625000,-19.375000,-0.625000,-16.875000,1.875000
32.312812,56.022040,-116.169784,32.312812,56.022040,-116.169784,-4.375000,-16.875000,-19.375000,-1.875000,-15.625000,1.875000
17.306741,65.013755,54.236401,17.306741,65.013755,54.236401,-4.375000,-16.875000,-18.125000,-1.875000,-15.625000,0.625000
-73.187631,6.192916,-9.157014,-73.187631,6.192916,-9.157014,-3.125000,-16.875000,-18.125000,-4.375000,-16.875000,0.625000
